vaccine_time,vaccine_amount,A1-R1,A1-R2,A5-R1,A5-R2,A4-R1,A4-R2,A3-R1,A3-R2,A2-R1,A2-R2
01/28/2022,0.0010918852167199921,0,0,76.16000000000001,59.84,213.5,91.5,542.3,95.7,0.0,0.0
01/29/2022,0.0013825419856778492,0,0,86.80000000000001,68.2,263.9,113.1,768.4,135.6,0.0,0.0
01/30/2022,0.0008143003130327266,0,0,42.00000000000001,33.0,148.39999999999998,63.599999999999994,418.2,73.8,0.0,0.0
01/31/2022,0.001135714412039034,0,0,60.480000000000004,47.52,189.70000000000002,81.30000000000001,561.85,99.14999999999999,0.0,0.0
02/01/2022,0.0009165684354438244,0,0,44.24,34.76,124.6,53.4,565.25,99.75,0.0,0.0
02/02/2022,0.001056514287164274,0,0,68.32000000000001,53.68,200.90000000000003,86.10000000000001,601.8,106.2,0.0,0.0
02/03/2022,0.0010818890844542458,0,0,131.04000000000002,102.96,204.39999999999998,87.6,445.4,78.6,0.0,0.0
02/04/2022,0.0006028436689496295,0,0,50.400000000000006,39.6,115.50000000000001,49.50000000000001,295.8,52.199999999999996,0.0,0.0
02/05/2022,0.0003229519655087301,0,0,34.160000000000004,26.84,72.8,31.2,129.2,22.8,0.0,0.0
02/06/2022,0.0006166844674714322,0,0,25.200000000000003,19.8,93.8,40.199999999999996,320.45,56.55,0.0,0.0
02/07/2022,0.0005036512795433767,0,0,25.200000000000003,19.8,59.49999999999999,25.5,249.04999999999998,43.949999999999996,10.8,1.2000000000000002
02/08/2022,0.0008004595145109239,0,0,43.120000000000005,33.88,128.79999999999998,55.199999999999996,423.3,74.7,0.0,0.0
02/09/2022,0.0007143389903752625,0,0,65.52000000000001,51.48,151.89999999999998,65.1,356.15,62.849999999999994,0.0,0.0
02/10/2022,0.0006682029953025868,0,0,63.28000000000001,49.72,135.79999999999998,58.199999999999996,317.9,56.1,0.0,0.0
02/11/2022,0.0006059194019544745,0,0,62.720000000000006,49.28,106.39999999999999,45.6,304.3,53.699999999999996,0.0,0.0
02/12/2022,0.0006943467258437697,0,0,62.160000000000004,48.84,121.1,51.9,350.2,61.8,0.0,0.0
02/13/2022,0.000604381535452052,0,0,34.720000000000006,27.28,107.79999999999997,46.19999999999999,313.65,55.35,0.0,0.0
02/14/2022,0.00047981434875582756,0,0,45.36000000000001,35.64,80.5,34.5,207.4,36.6,0.0,0.0
02/15/2022,0.0005113406120554893,0,0,34.160000000000004,26.84,100.8,43.199999999999996,277.09999999999997,48.9,0.0,0.0
02/16/2022,0.0004921172807752077,0,0,45.92,36.08,105.0,45.0,226.1,39.9,0.0,0.0
02/17/2022,0.0005051891460457992,0,0,40.88,32.12,99.39999999999999,42.6,272.84999999999997,48.15,0.0,0.0
02/18/2022,0.0005490183413648411,0,0,45.36000000000001,35.64,87.5,37.5,295.8,52.199999999999996,0.0,0.0
02/19/2022,0.0005582455403793763,0,0,45.92,36.08,95.89999999999999,41.1,260.95,46.05,0.0,0.0
02/20/2022,2.3067997536337864e-06,0,0,0.0,0.0,1.4,0.6,0.85,0.15,0.0,0.0
02/21/2022,2.3067997536337864e-06,0,0,0.0,0.0,0.7,0.3,1.7,0.3,0.0,0.0
02/22/2022,0.0010757376184445558,0,0,67.2,52.8,185.5,79.5,578.85,102.14999999999999,0.0,0.0
02/23/2022,0.00046751141673644737,0,0,36.400000000000006,28.6,78.39999999999999,33.6,227.80000000000004,40.20000000000001,0.0,0.0
02/24/2022,0.00042906475417588423,0,0,43.68000000000001,34.32,84.0,36.0,188.70000000000005,33.300000000000004,0.0,0.0
02/25/2022,0.00037447049333988463,0,0,35.84,28.16,60.199999999999996,25.8,193.79999999999998,34.199999999999996,0.0,0.0
02/26/2022,0.00036293649457171573,0,0,29.680000000000003,23.32,56.0,24.0,213.35,37.65,0.0,0.0
02/27/2022,0.0003844666256056311,0,0,19.6,15.4,74.89999999999999,32.1,226.1,39.9,0.0,0.0
02/28/2022,0.00021376344383673086,0,0,12.88,10.12,39.9,17.099999999999998,104.55,18.45,0.0,0.0
03/01/2022,0.00027835383693847687,0,0,21.28,16.72,61.599999999999994,26.4,138.54999999999998,24.45,0.0,0.0
03/02/2022,0.00031680049949904,0,0,33.040000000000006,25.96,68.6,29.4,141.95,25.05,0.0,0.0
03/03/2022,0.0003152626329966175,0,0,31.360000000000003,24.64,54.599999999999994,23.4,159.79999999999998,28.2,0.0,0.0
03/04/2022,0.0003152626329966175,0,0,26.320000000000004,20.68,67.89999999999999,29.099999999999998,164.04999999999998,28.95,0.0,0.0
03/05/2022,0.00036293649457171573,0,0,31.92,25.080000000000002,55.3,23.7,183.6,32.4,0.0,0.0
03/06/2022,7.689332512112621e-07,0,0,0.0,0.0,0.0,0.0,0.85,0.15,0.0,0.0
03/07/2022,0.0005590144736305876,0,0,31.360000000000003,24.64,93.1,39.9,316.2,55.8,0.0,0.0
03/08/2022,0.00022452850935368853,0,0,10.64,8.36,46.199999999999996,19.8,136.0,24.0,0.0,0.0
03/09/2022,0.00031141796674056117,0,0,28.000000000000004,22.0,56.699999999999996,24.3,166.6,29.4,0.0,0.0
03/10/2022,0.0004013831571322788,0,0,73.36000000000001,57.64,65.1,27.9,113.05,19.95,0.0,0.0
03/11/2022,-0.0003390995637841666,0,0,-55.440000000000005,-43.56,-44.099999999999994,-18.9,-122.39999999999999,-21.599999999999998,202.5,22.5
03/12/2022,0.0003106490334893499,0,0,22.96,18.04,55.300000000000004,23.700000000000003,170.0,30.0,0.0,0.0
03/13/2022,0.00024990330664366017,0,0,8.4,6.6,37.8,16.2,167.45,29.549999999999997,0.0,0.0
03/14/2022,0.00010918852167199922,0,0,5.040000000000001,3.96,13.299999999999999,5.7,72.25,12.75,0.0,0.0
03/15/2022,0.0008519780423420784,0,0,100.80000000000001,79.2,133.0,57.0,381.65,67.35,0.0,0.0
